メーンディッシュ	main|dish	M_EY1_N|D_IH1_SH
サージャリー	surgery	S_ER1_JH_ER0_IY0
タイムアタック	time|attack	T_AY1_M|AH0_T_AE1_K
コストパフォーマンス	cost|performance	K_AA1_S_T|P_ER0_F_AO1_R_M_AH0_N_S
ウェーバー	waiver	W_EY1_V_ER0
ラゲッジ	luggage	L_AH1_G_AH0_JH
ホットヨーガ	hot|yoga	HH_AA1_T|Y_OW1_G_AH0
ミスティック	mystic	M_IH1_S_T_IH0_K
クローネ	krone	K_R_OW1_N_AH0
ギボン	gibbon	G_IH1_B_AH0_N
ミーニング	meaning	M_IY1_N_IH0_NG
プロキシサーバ	proxy|server	P_R_AA1_K_S_IY0|S_ER1_V_ER0
ハンバーグステーキ	hamburg|steak	HH_AE1_M_B_ER0_G|S_T_EY1_K
フィロソファー	philosopher	F_AH0_L_AA1_S_AH0_F_ER0
プリンタフォント	printer|font	P_R_IH1_N_T_ER0|F_AA1_N_T
タッキング	tacking	T_AE1_K_IH0_NG
トータス	tortoise	T_AO1_R_T_AH0_S
オーバレイモデル	overlay|model	OW1_V_ER0_L_EY2|M_AA1_D_AH0_L
ナット	nut	N_AH1_T
オーバーレイ	overlay	OW1_V_ER0_L_EY2
テイル	tail	T_EY1_L
プラカード	placard	P_L_AE1_K_ER0_D
バスチェア	bath|chair	B_AE1_TH|CH_EH1_R
ウェディングヴェール	wedding|veil	W_EH1_D_IH0_NG|V_EY1_L
ランプステーキ	rump|steak	R_AH1_M_P|S_T_EY1_K
アクセスモード	access|mode	AE1_K_S_EH2_S|M_OW1_D
エレクトロニックファイル	electronic|file	IH2_L_EH2_K_T_R_AA1_N_IH0_K|F_AY1_L
プリザーブ	preserve	P_R_AH0_Z_ER1_V
タルタル	tartar	T_AA1_R_T_ER0
ブラッドストーン	bloodstone	B_L_AH1_D_S_T_OW2_N
ライスカレー	rice|curry	R_AY1_S|K_AH1_R_IY0
ステレオタイプ	stereotype	S_T_EH1_R_IY0_OW0_T_AY2_P
テクノサイエンス	techno|science	T_EH1_K_N_OW0|S_AY1_AH0_N_S
バルサム	balsam	B_AO1_L_S_AH0_M
トレーニングセンター	training|centre	T_R_EY1_N_IH0_NG|S_EH1_N_T_ER0
ブレードサーバ	blade|server	B_L_EY1_D|S_ER1_V_ER0
チャットエリア	chat|area	CH_AE1_T|EH1_R_IY0_AH0
ディジャヴ	deja|vu	D_IY1_JH_AH0|V_UW1
ユニットキッチン	unit|kitchen	Y_UW1_N_AH0_T|K_IH1_CH_AH0_N
ラストラン	last|run	L_AE1_S_T|R_AH1_N
ダンプ	dump	D_AH1_M_P
リスポンス	response	R_IH0_S_P_AA1_N_S
トラックアットワンス	track|at|once	T_R_AE1_K|AE1_T|W_AH1_N_S
パーシャル	partial	P_AA1_R_SH_AH0_L
レパートリー	repertory	R_EH1_P_ER0_T_AO2_R_IY0
ソーシャルネットワーキングサービス	social|networking|service	S_OW1_SH_AH0_L|N_EH1_T_W_ER2_K_IH0_NG|S_ER1_V_AH0_S
オイルカラー	oil|color	OY1_L|K_AH1_L_ER0
ギー	ghee	G_IY1
デバイススタック	device|stack	D_IH0_V_AY1_S|S_T_AE1_K
ポール	pole	P_OW1_L
コントロールポイント	control|point	K_AH0_N_T_R_OW1_L|P_OY1_N_T
ドラフトビール	draft|beer	D_R_AE1_F_T|B_IH1_R
パイピング	piping	P_AY1_P_IH0_NG
ポップアート	pop|art	P_AA1_P|AA1_R_T
クォータリー	quarterly	K_W_AO1_R_T_ER0_L_IY0
エンディング	ending	EH1_N_D_IH0_NG
パステーシュ	pastiche	P_AE2_S_T_IY1_SH
ボイジャー	voyager	V_OY1_AH0_JH_ER0
クリスマスキャロル	christmas|carol	K_R_IH1_S_M_AH0_S|K_AE1_R_AH0_L
カップスタン	capstan	K_AE1_P_S_T_AH0_N
プリムローズ	primrose	P_R_IH1_M_R_OW2_Z
レフリー	referee	R_EH2_F_ER0_IY1
ゲームカウント	game|count	G_EY1_M|K_AW1_N_T
リプレース	replace	R_IY2_P_L_EY1_S
ビーフィーター	beefeater	B_IY1_F_IY2_T_ER0
ソーラーポンド	solar|pond	S_OW1_L_ER0|P_AA1_N_D
トーブ	thobe	TH_OW1_B
カバーオール	coverall	K_AH1_V_ER0_AO2_L
デッドボール	dead|ball	D_EH1_D|B_AO1_L
インビテーション	invitation	IH2_N_V_IH0_T_EY1_SH_AH0_N
エミグラント	emigrant	EH1_M_AH0_G_R_AH0_N_T
インベンション	invention	IH2_N_V_EH1_N_SH_AH0_N
チャイティー	chai|tea	CH_AY1|T_IY1
キャビネ	cabinet	K_AE1_B_AH0_N_AH0_T
デザインプロモーター	design|promoter	D_IH0_Z_AY1_N|P_R_AH0_M_OW1_T_ER0
ヤングミセス	young|mrs	Y_AH1_NG|M_IH1_S_IH0_Z
カクテルドレス	cocktail|dress	K_AA1_K_T_EY2_L|D_R_EH1_S
パーリーピーポー	party|people	P_AA1_R_T_IY0|P_IY1_P_AH0_L
ワークステーションウィンドウ	workstation|window	W_ER1_K_S_T_EY2_SH_AH0_N|W_IH1_N_D_OW0
ウィニング	winning	W_IH1_N_IH0_NG
ローミング	roaming	R_OW1_M_IH0_NG
フィーチャコネクタ	feature|connector	F_IY1_CH_ER0|K_AH0_N_EH1_K_T_ER0
ブルートレーン	blue|train	B_L_UW1|T_R_EY1_N
ホー	hoe	HH_OW1
ピクチャーウインドウ	picture|window	P_IH1_K_CH_ER0|W_IH1_N_D_OW0
マタニティウェア	maternity|wear	M_AH0_T_ER1_N_IH0_T_IY0|W_EH1_R
バストボリューム	breast|volume	B_R_EH1_S_T|V_AA1_L_Y_UW0_M
バンドカラー	band|collar	B_AE1_N_D|K_AA1_L_ER0
ナショナルアイデンティティー	national|identity	N_AE1_SH_AH0_N_AH0_L|AY0_D_EH1_N_T_AH0_T_IY2
ヒロイック	heroic	HH_IH0_R_OW1_IH0_K
ライセンスフリー	license|free	L_AY1_S_AH0_N_S|F_R_IY1
ラッテアート	latte|art	L_AA1_T_EY2|AA1_R_T
セレクションマッチ	selection|match	S_AH0_L_EH1_K_SH_AH0_N|M_AE1_CH
シリアルインタフェース	serial|interface	S_IH1_R_IY2_AH0_L|IH1_N_T_ER0_F_EY2_S
ファンフィクション	fan|fiction	F_AE1_N|F_IH1_K_SH_AH0_N
アルカディア	arcadia	AA0_R_K_EY1_D_IY0_AH0
エキストラクト	extract	EH1_K_S_T_R_AE2_K_T
ミルクティー	milk|tea	M_IH1_L_K|T_IY1
マーチャントバンク	merchant|bank	M_ER1_CH_AH0_N_T|B_AE1_NG_K
ブルジョワジー	bourgeoisie	B_UH2_R_ZH_W_AA2_Z_IY1
バッファプール	buffer|pool	B_AH1_F_ER0|P_UW1_L
ファイルアクセスモード	file|access|mode	F_AY1_L|AE1_K_S_EH2_S|M_OW1_D
ヒューリスティックス	heuristics	HH_Y_UH0_R_IH1_S_T_IH0_K_S
インテリゲンチャ	intelligentsia	IH2_N_T_EH2_L_AH0_JH_EH1_N_T_S_IY0_AH0
クロム	chrome	K_R_OW1_M
アンチハッキング	anti|hacking	AE1_N_T_IY2|HH_AE1_K_IH0_NG
ソップ	soup	S_UW1_P
リセール	resale	R_IY1_S_EY2_L
コンピュテーション	computation	K_AA2_M_P_Y_AH0_T_EY1_SH_AH0_N
タームローン	term|loan	T_ER1_M|L_OW1_N
カフェインレス	caffeine|less	K_AE0_F_IY1_N|L_EH1_S
カラーイメージスキャナ	color|image|scanner	K_AH1_L_ER0|IH1_M_AH0_JH|S_K_AE1_N_ER0
バスコントロール	birth|control	B_ER1_TH|K_AH0_N_T_R_OW1_L
ステップバイステップ	step|by|step	S_T_EH1_P|B_AY1|S_T_EH1_P
アイスコンデンサ	ice|condenser	AY1_S|K_AH0_N_D_EH1_N_S_ER0
メモリースティック	memory|stick	M_EH1_M_ER0_IY0|S_T_IH1_K
プッシュロック	push|lock	P_UH1_SH|L_AA1_K
ピッツア	pizza	P_IY1_T_S_AH0
ホイル	foil	F_OY1_L
ファイナルバージョン	final|version	F_AY1_N_AH0_L|V_ER1_ZH_AH0_N
ニオビウム	niobium	N_AY2_OW1_B_IY0_AH0_M
スプレッド	spread	S_P_R_EH1_D
ワンチャンス	one|chance	W_AH1_N|CH_AE1_N_S
グアナコ	guanaco	G_W_AH0_N_AA1_K_OW2
サンティアゴ	santiago	S_AE2_N_T_IY0_AA1_G_OW0
クラスター	cluster	K_L_AH1_S_T_ER0
センキュ	thank|you	TH_AE1_NG_K|Y_UW1
アルゴリズミック	algorithmic	AE1_L_G_ER0_IH2_DH_AH0_M_IH0_K
ベネフィット	benefit	B_EH1_N_AH0_F_IH0_T
レジリエンス	resilience	R_IH0_Z_IH1_L_IY0_AH0_N_S
ミナーヴァ	minerva	M_AH0_N_ER1_V_AH0
セコンド	second	S_EH1_K_AH0_N_D
プロミス	promise	P_R_AA1_M_AH0_S
ココナツ	coconut	K_OW1_K_AH0_N_AH2_T
キングズイングリッシュ	king's|english	K_IH1_NG_Z|IH1_NG_G_L_IH0_SH
オセロ	othello	AH0_TH_EH1_L_OW0
ウィンドローズ	wind|rose	W_AY1_N_D|R_OW1_Z
フリー	free	F_R_IY1
タンクバッグ	tank|bag	T_AE1_NG_K|B_AE1_G
ビバーク	bivouac	B_IH1_V_W_AE0_K
ソート	sort	S_AO1_R_T
プロダクション	production	P_R_AH0_D_AH1_K_SH_AH0_N
エクスクラメーションマーク	exclamation|mark	EH2_K_S_K_L_AH0_M_EY1_SH_AH0_N|M_AA1_R_K
エリシウム	elysium	IH0_L_IH1_Z_IY0_AH0_M
オプティミスティック	optimistic	AA2_P_T_IH0_M_IH1_S_T_IH0_K
フラクション	fraction	F_R_AE1_K_SH_AH0_N
マスタリング	mastering	M_AE1_S_T_ER0_IH0_NG
シロップ	syrup	S_ER1_AH0_P
アークライト	arc|light	AA1_R_K|L_AY1_T
ピーナッツバター	peanut|butter	P_IY1_N_AH0_T|B_AH1_T_ER0
ネットワークアドミニストレーション	network|administration	N_EH1_T_W_ER2_K|AE0_D_M_IH2_N_IH0_S_T_R_EY1_SH_AH0_N
ドットアドレス	dot|address	D_AA1_T|AE1_D_R_EH2_S
マスターファイル	master|file	M_AE1_S_T_ER0|F_AY1_L
タヒチバニラ	tahiti|vanilla	T_AH0_HH_IY1_T_IY0|V_AH0_N_IH1_L_AH0
ケアマネジャー	care|manager	K_EH1_R|M_AE1_N_AH0_JH_ER0
ボールカウント	ball|count	B_AO1_L|K_AW1_N_T
ニルヴァーナ	nirvana	N_IH0_R_V_AA1_N_AH0
ポークチェック	poke|check	P_OW1_K|CH_EH1_K
ホスピタリティー	hospitality	HH_AA2_S_P_AH0_T_AE1_L_AH0_T_IY0
グアバ	guava	G_W_AA1_V_AH0
シティーブルース	city|blues	S_IH1_T_IY0|B_L_UW1_Z
アクションシーン	action|scene	AE1_K_SH_AH0_N|S_IY1_N
ローズ	rose	R_OW1_Z
ワードサラダ	word|salad	W_ER1_D|S_AE1_L_AH0_D
ステッパー	stepper	S_T_EH1_P_ER0
ブリティッシュ	british	B_R_IH1_T_IH0_SH
ファラーフェル	falafel	F_AH0_L_AA1_F_AH0_L
テキストモード	text|mode	T_EH1_K_S_T|M_OW1_D
アイオーー	io	AY1_OW0
プライベートジェット	private|jet	P_R_AY1_V_AH0_T|JH_EH1_T
シュリンプ	shrimp	SH_R_IH1_M_P
チャップン	splash	S_P_L_AE1_SH
オープンアーキテクチャ	open|architecture	OW1_P_AH0_N|AA1_R_K_AH0_T_EH2_K_CH_ER0
ロック	lock	L_AA1_K
グラントゥーリズモ	gran|turismo	G_R_AE1_N|T_UH1_R_IH0_S_M_OW0
ボックスドライバー	box|driver	B_AA1_K_S|D_R_AY1_V_ER0
バッドマーク	bad|mark	B_AE1_D|M_AA1_R_K
グラブバケット	grab|bucket	G_R_AE1_B|B_AH1_K_IH0_T
アンツーカー	en|tout|cas	EH1_N|T_AW1_T|K_AE1_S
リトリーバー	retriever	R_IY0_T_R_IY1_V_ER0
キック	kick	K_IH1_K
ラッキーボーイ	lucky|boy	L_AH1_K_IY0|B_OY1
フリーゲージ	free|gauge	F_R_IY1|G_EY1_JH
バスタード	bastard	B_AE1_S_T_ER0_D
プランニング	planning	P_L_AE1_N_IH0_NG
ウーリーコットン	woolly|cotton	W_UH1_L_IY0|K_AA1_T_AH0_N
カーボンニュートラル	carbon|neutral	K_AA1_R_B_AH0_N|N_UW1_T_R_AH0_L
ケミスト	chemist	K_EH1_M_IH0_S_T
フレーバー	flavor	F_L_EY1_V_ER0
スロットルレバー	throttle|lever	TH_R_AA1_T_AH0_L|L_EH1_V_ER0
プロテクター	protector	P_R_AH0_T_EH1_K_T_ER0
レーズン	raisin	R_EY1_Z_IH0_N
ストレートパーマ	straight|perma	S_T_R_EY1_T|P_ER1_M_AH0
プロトコール	protocol	P_R_OW1_T_AH0_K_AA2_L
アマゾネス	amazons	AE1_M_AH0_Z_AA2_N_Z
ムーンストーン	moonstone	M_UW1_N_S_T_OW2_N
サーキットエミュレーション	circuit|emulation	S_ER1_K_AH0_T|EH2_M_Y_AH0_L_EY1_SH_AH0_N
ワークグループ	workgroup	W_ER1_K_G_R_UW2_P
ソル	sol	S_AA1_L
マーセッド	merced	M_ER1_S_T
コンフィデンシャル	confidential	K_AA2_N_F_AH0_D_EH1_N_SH_AH0_L
デッド	dead	D_EH1_D
シリング	schilling	SH_IH1_L_IH0_NG
トレブル	treble	T_R_EH1_B_AH0_L
カルナバル	carnival	K_AA1_R_N_AH0_V_AH0_L
ワークフロー	workflow	W_ER1_K_F_L_OW2
シルバーハラスメント	silver|harassment	S_IH1_L_V_ER0|HH_ER0_AE1_S_M_AH0_N_T
アライバル	arrival	ER0_AY1_V_AH0_L
マニヤ	mania	M_EY1_N_IY0_AH0
ビデオカメラ	video|camera	V_IH1_D_IY0_OW0|K_AE1_M_ER0_AH0
カレントドレイン	current|drain	K_ER1_AH0_N_T|D_R_EY1_N
ユニークユーザ	unique|user	Y_UW0_N_IY1_K|Y_UW1_Z_ER0
ジェリービーンズ	jelly|beans	JH_EH1_L_IY0|B_IY1_N_Z
ダイヤルパッド	dial|pad	D_AY1_AH0_L|P_AE1_D
ソーダフロート	soda|float	S_OW1_D_AH0|F_L_OW1_T
レノヴェーション	renovation	R_EH2_N_AH0_V_EY1_SH_AH0_N
インプロヴァイゼィション	improvisation	IH2_M_P_R_AA0_V_IH0_Z_EY1_SH_AH0_N
インターネットマーケティング	internet|marketing	IH1_N_T_ER0_N_EH2_T|M_AA1_R_K_AH0_T_IH0_NG
ウィンカ	winker	W_IH1_NG_K_ER0
フィールドエンジニア	field|engineer	F_IY1_L_D|EH1_N_JH_AH0_N_IH1_R
ギムレット	gimlet	G_IH1_M_L_EH2_T
スターティング	starting	S_T_AA1_R_T_IH0_NG
インジュリータイム	injury|time	IH1_N_JH_ER0_IY0|T_AY1_M
インターコース	intercourse	IH1_N_T_ER0_K_AO2_R_S
パーソナライズ	personalize	P_ER1_S_AH0_N_AH0_L_AY2_Z
ヴィーグル	beagle	B_IY1_G_AH0_L
フラットシェーディング	flat|shading	F_L_AE1_T|SH_EY1_D_IH0_NG
サーフローラー	surf|roller	S_ER1_F|R_OW1_L_ER0
グラウコーマ	glaucoma	G_L_AO0_K_OW1_M_AH0
パブリックビューイング	public|viewing	P_AH1_B_L_IH0_K|V_Y_UW1_IH0_NG
シースドレス	sheath|dress	SH_IY1_TH|D_R_EH1_S
ボールパーソン	ball|person	B_AO1_L|P_ER1_S_AH0_N
ニュースオンデマンド	news|on|demand	N_UW1_Z|AA1_N|D_IH0_M_AE1_N_D
フォントファイル	font|file	F_AA1_N_T|F_AY1_L
テレビジョンドラマ	television|drama	T_EH1_L_IH0_V_IH0_ZH_AH0_N|D_R_AA1_M_AH0
エレクトロニックスポーツ	electronic|sports	IH2_L_EH2_K_T_R_AA1_N_IH0_K|S_P_AO1_R_T_S
ミディアムレア	medium|rare	M_IY1_D_IY0_AH0_M|R_EH1_R
インプロセス	in|process	IH0_N|P_R_AA1_S_EH2_S
スタチック	static	S_T_AE1_T_IH0_K
オールタイム	all|time	AO1_L|T_AY1_M
シニア	senior	S_IY1_N_Y_ER0
サイトシステム	site|system	S_AY1_T|S_IH1_S_T_AH0_M
アクスィデンタル	accidental	AE2_K_S_AH0_D_EH1_N_T_AH0_L
レイシスト	racist	R_EY1_S_IH0_S_T
ノウテイション	notation	N_OW0_T_EY1_SH_AH0_N
マキャベリスト	machiavellist	M_AA2_K_IY0_AH0_V_EH1_L_IY0_S_T
デコラティブ	decorative	D_EH1_K_R_AH0_T_IH0_V
フィールダーズチョイス	fielder's|choice	F_IY1_L_D_ER0_Z|CH_OY1_S
ストリーミングテープ	streaming|tape	S_T_R_IY1_M_IH0_NG|T_EY1_P
コンピューターアート	computer|art	K_AH0_M_P_Y_UW1_T_ER0|AA1_R_T
メインメモリー	main|memory	M_EY1_N|M_EH1_M_ER0_IY0
バンツー	bantu	B_AE1_N_T_UW0
ユーザーフレンドリー	user|friendly	Y_UW1_Z_ER0|F_R_EH1_N_D_L_IY0
アーモンド	almond	AA1_M_AH0_N_D
キャラクタプリンタ	character|printer	K_EH1_R_IH0_K_T_ER0|P_R_IH1_N_T_ER0
トップレディー	top|lady	T_AA1_P|L_EY1_D_IY0
サンプルサイズ	sample|size	S_AE1_M_P_AH0_L|S_AY1_Z
デレゲーション	delegation	D_EH2_L_AH0_G_EY1_SH_AH0_N
タシュケント	tashkent	T_AE2_SH_K_EH1_N_T
プロダクトライフサイクル	product|life|cycle	P_R_AA1_D_AH0_K_T|L_AY1_F|S_AY1_K_AH0_L
インフィールド	infield	IH1_N_F_IY2_L_D
スタートアップスクリーン	startup|screen	S_T_AA1_R_T_AH2_P|S_K_R_IY1_N
クラスプ	clasp	K_L_AE1_S_P
ヴァギナ	vagina	V_AH0_JH_AY1_N_AH0
アーキタイプ	archetype	AA1_R_K_IH0_T_AY2_P
プレシャス	precious	P_R_EH1_SH_AH0_S
ガスハイドレート	gas|hydrates	G_AE1_S|HH_AY1_D_R_EY2_T_S
オークションサイト	auction|site	AA1_K_SH_AH0_N|S_AY1_T
ライコス	lycos	L_AY1_K_OW0_S
グレープ	grape	G_R_EY1_P
システムズ	systems	S_IH1_S_T_AH0_M_Z
ジョギングシューズ	jogging|shoes	JH_AA1_G_IH0_NG|SH_UW1_Z
ショーウィンドウ	show|window	SH_OW1|W_IH1_N_D_OW1
グッド	good	G_UH1_D
オートクラシー	autocracy	AO0_T_AA1_K_R_AH0_S_IY0
ニュー	new	N_UW1
ロイアルティ	royalty	R_OY1_AH0_L_T_IY0
キャンピングトレーラ	campaign|trailer	K_AE0_M_P_EY1_N|T_R_EY1_L_ER0
ウインドーショッピング	window|shopping	W_IH1_N_D_OW0|SH_AA1_P_IH0_NG
タイガー	tiger	T_AY1_G_ER0
ブルームーン	blue|moon	B_L_UW1|M_UW1_N
サービスマーク	service|mark	S_ER1_V_AH0_S|M_AA1_R_K
コンパクトプロ	compact|pro	K_AA1_M_P_AE0_K_T|P_R_OW1
インフレアドインタフェース	infrared|interface	IH2_N_F_R_ER0_EH1_D|IH1_N_T_ER0_F_EY2_S
バルネラビリティー	vulnerability	V_AH2_L_N_ER0_AH0_B_IH1_L_IH0_T_IY0
ゴスバンク	gosbank	G_AO1_S_B_AE2_NG_K
ラドン	radon	R_EY1_D_AA2_N
システムアナリスト	system|analyst	S_IH1_S_T_AH0_M|AE1_N_AH0_L_IH0_S_T
シュプール	spur	S_P_ER1
ブレーカ	breaker	B_R_EY1_K_ER0
リミットサイクル	limit|cycle	L_IH1_M_AH0_T|S_AY1_K_AH0_L
サービスタイム	service|time	S_ER1_V_IH0_S|T_AY1_M
アクウダクト	aqueduct	AE1_K_W_AH0_D_AH2_K_T
ノープレー	no|play	N_OW1|P_L_EY1
ローラーホッケー	roller|hockey	R_OW1_L_ER0|HH_AA1_K_IY0
コンゴ	congo	K_AA1_NG_G_OW0
ガレオン	galleon	G_AE1_L_IY0_AH0_N
エーデルバイス	edelweiss	EY1_D_AH0_L_V_AY2_S
ファイバ	fiber	F_AY1_B_ER0
レイアウト	layout	L_EY1_AW2_T
マークアップインフレーション	markup|inflation	M_AA1_R_K_AH2_P|IH2_N_F_L_EY1_SH_AH0_N
メイクラブ	make|love	M_EY1_K|L_AH1_V
ギャーザー	gather	G_AE1_DH_ER0
ブリッジング	bridging	B_R_IH1_JH_IH0_NG
ワーカーズコレクティブ	workers'|collective	W_ER1_K_ER0_Z|K_AH0_L_EH1_K_T_IH0_V
ギター	guitar	G_IH0_T_AA1_R
バルーン	balloon	B_AH0_L_UW1_N
レガート	legato	L_AH0_G_AA1_T_OW2
アクチャル	actual	AE1_K_CH_AH0_W_AH0_L
チャイルドロック	child|lock	CH_AY1_L_D|L_AA1_K
ジュピター	jupiter	JH_UW1_P_AH0_T_ER0
イメージトレーニング	image|training	IH1_M_AH0_JH|T_R_EY1_N_IH0_NG
フリーダイビング	free|diving	F_R_IY1|D_AY1_V_IH0_NG
サーモメータ	thermometer	TH_ER0_M_AA1_M_AH0_T_ER0
インテリアファブリック	interior|fabric	IH2_N_T_IH1_R_IY0_ER0|F_AE1_B_R_IH0_K
コピープログラム	copy|program	K_AA1_P_IY0|P_R_OW1_G_R_AE2_M
アトキンスダイエット	atkins|diet	AE1_T_K_IH0_N_Z|D_AY1_AH0_T
デキストリン	dextrin	D_EH1_K_S_T_R_IH0_N
モルトウイスキー	malt|whisky	M_AO1_L_T|W_IH1_S_K_IY0
アフィリエート	affiliate	AH0_F_IH1_L_IY0_EY2_T
コマンドインタープリタ	command|interpreter	K_AH0_M_AE1_N_D|IH2_N_T_ER1_P_R_AH0_T_ER0
コアキシャルケーブル	coaxial|cable	K_OW1_AE1_K_S_IY0_AH0_L|K_EY1_B_AH0_L
レボルバー	revolver	R_IH0_V_AA1_L_V_ER0
バイオレーション	violation	V_AY0_AH0_L_EY1_SH_AH0_N
アーガット	ergot	ER1_G_AH0_T
キブアンドテーク	give|and|take	G_IH1_V|AH0_N_D|T_EY1_K
チルダ	tilde	T_IH1_L_D_AH0
ウイック	wick	W_IH1_K
ダイアナモンキー	diana|monkey	D_AY0_AE1_N_AH0|M_AH1_NG_K_IY0
アラブ	arab	AE1_R_AH0_B
フォト	photo	F_OW1_T_OW2
スキンクリーム	skin|cream	S_K_IH1_N|K_R_IY1_M
カスタムプロファイル	custom|profile	K_AH1_S_T_AH0_M|P_R_OW1_F_AY2_L
マグネシヤ	magnesia	M_AE0_G_N_IY1_ZH_AH0
ランプ	rump	R_AH1_M_P
ベイウィンドー	bay|window	B_EY1|W_IH1_N_D_OW0
サインオン	sign|on	S_AY1_N|AA1_N
キャンヴァス	canvas	K_AE1_N_V_AH0_S
プルタブ	pull|tab	P_UH1_L|T_AE1_B
インターフェース	interface	IH1_N_T_ER0_F_EY2_S
シュープリーム	supreme	S_AH0_P_R_IY1_M
トップレス	topless	T_AA1_P_L_AH0_S
ビューワ	viewer	V_Y_UW1_ER0
メディアイベント	media|event	M_IY1_D_IY0_AH0|IH0_V_EH1_N_T
ジャンセニスム	jansenism	JH_AE1_N_S_IH0_N_IH2_Z_AH0_M
シザースジャンプ	scissors|jump	S_IH1_Z_ER0_Z|JH_AH1_M_P
アロマオイル	aroma|oil	ER0_OW1_M_AH0|OY1_L
エディプス	oedipus	EH1_D_IH0_P_AH0_S
アノード	anode	AE1_N_OW2_D
サーチライト	searchlight	S_ER1_CH_L_AY2_T
パニエ	pannier	P_AE1_N_IY0_ER0
ビーフパティ	beef|patty	B_IY1_F|P_AE1_T_IY0
システムコンポーネント	system|component	S_IH1_S_T_AH0_M|K_AH0_M_P_OW1_N_AH0_N_T
プアー	poor	P_UW1_R
アーミーブルー	army|blue	AA1_R_M_IY0|B_L_UW1
シリアルアントレプレナー	serial|entrepreneur	S_IH1_R_IY2_AH0_L|AA2_N_T_R_AH0_P_R_AH0_N_ER1
インソムニア	insomnia	IH2_N_S_AA1_M_N_IY0_AH0
テープライブラリー	tape|library	T_EY1_P|L_AY1_B_R_EH0_R_IY2
スキャニング	scanning	S_K_AE1_N_IH0_NG
コンクリートジャングル	concrete|jungle	K_AH0_N_K_R_IY1_T|JH_AH1_NG_G_AH0_L
チップボード	chipboard	CH_IH1_P_B_AO2_R_D
コーデュロイ	corduroy	K_AO1_R_D_ER0_OY2
デモグラフィック	demographic	D_EH2_M_AH0_G_R_AE1_F_IH0_K
アゼルバイジャン	azerbaijan	AA2_Z_ER0_B_AY0_JH_AA1_N
エントリーモデル	entry|model	EH1_N_T_R_IY0|M_AA1_D_AH0_L
シビアー	severe	S_AH0_V_IH1_R
ストリートギャング	street|gang	S_T_R_IY1_T|G_AE1_NG
エレクトリックベース	electric|bass	IH0_L_EH1_K_T_R_IH0_K|B_AE1_S
レクイエムシャーク	requiem|shark	R_EH1_K_W_IY0_AH0_M|SH_AA1_R_K
オートマトン	automaton	AO0_T_AA1_M_AH0_T_AA2_N
イネーブラー	enabler	EH0_N_EY1_B_AH0_L_ER0
クオリア	quale	K_W_EY1_L
ボレー	volley	V_AA1_L_IY0
オプティマイズ	optimize	AA1_P_T_IH0_M_AY2_Z
ビッチ	bitch	B_IH1_CH
ココナット	coconut	K_OW1_K_AH0_N_AH2_T
マリン	marine	M_ER0_IY1_N
ヤングレディー	young|lady	Y_AH1_NG|L_EY1_D_IY0
キャンデー	candy	K_AE1_N_D_IY0
マスティフ	mastiff	M_AE1_S_T_AH0_F
アイヌ	ainu	EY1_N_UW2
ホルン	horn	HH_AO1_R_N
ラザニエ	lasagna	L_AA0_S_AA1_N_Y_AH0
オクラホマミキサー	oklahoma|mixer	OW2_K_L_AH0_HH_OW1_M_AH0|M_IH1_K_S_ER0
ウォーマー	warmer	W_AO1_R_M_ER0
モーラ	mora	M_AO1_R_AH0
ポーズ	pose	P_OW1_Z
ニュースシステム	news|system	N_UW1_Z|S_IH1_S_T_AH0_M
メインキー	main|key	M_EY1_N|K_IY1
バン	bun	B_AH1_N
バットジョイント	butt|joint	B_AH1_T|JH_OY1_N_T
ライフラフト	life|raft	L_AY1_F|R_AE1_F_T
ヨーガート	yogurt	Y_OW1_G_ER0_T
オープントーナメント	open|tournament	OW1_P_AH0_N|T_UH1_R_N_AH0_M_AH0_N_T
ファンシーグッズ	fancy|goods	F_AE1_N_S_IY0|G_UH1_D_Z
パッケージ	package	P_AE1_K_AH0_JH
ギャルゲーム	gal|game	G_AE1_L|G_EY1_M
マグショット	mug|shot	M_AH1_G|SH_AA1_T
ジャンクショップ	junk|shop	JH_AH1_NG_K|SH_AA1_P
インフォメーションデモクラシー	information|democracy	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|D_IH0_M_AA1_K_R_AH0_S_IY0
コンサルタントエンジニア	consultant|engineer	K_AH0_N_S_AH1_L_T_AH0_N_T|EH1_N_JH_AH0_N_IH1_R
ピグメント	pigment	P_IH1_G_M_EH0_N_T
サージ	surge	S_ER1_JH
ショットガンマリッジ	shotgun|marriage	SH_AA1_T_G_AH2_N|M_EH1_R_IH0_JH
コンフォタブル	comfortable	K_AH1_M_F_ER0_T_AH0_B_AH0_L
コーホート	cohort	K_OW1_HH_AO0_R_T
テープデッキ	tape|deck	T_EY1_P|D_EH1_K
マテリアルバランス	material|balance	M_AH0_T_IH1_R_IY0_AH0_L|B_AE1_L_AH0_N_S
テアトル	theatre	TH_IY1_AH0_T_ER0
エール	ale	EY1_L
アニゼット	anisette	AE2_N_AH0_S_EH1_T
ポテトチップ	potato|chip	P_AH0_T_EY1_T_OW2|CH_IH1_P
ハンターキラー	hunter|killer	HH_AH1_N_T_ER0|K_IH1_L_ER0
ポープ	pope	P_OW1_P
