フルーツサラダ	fruits salad
アンノーン	unknown
トーテム	totem
オーダ	order
チーマー	teamer
スタディ	study
インディビジュアリズム	individualism
パフューム	perfume
アウトスタンディング	outstanding
ディオン	dion
ノートパッド	notepad
セミコンダクター	semiconductor
ウォータン	wotan
ミストラル	mistral
アーティクル	article
トラックボール	trackball
エクスプレッショニズム	expressionism
スロー	slow
ライター	lighter
パブ	pub
アダプティブ	adaptive
ガードナー	gardener
ネオン	neon
ジェントリー	gentry
コルチコステロイド	corticosteroid
マニュフェスト	manifesto
アビオニクス	avionics
グレー	grey
ギヤ	gear
コーディネート	coordinate
コンピューター	computer
デノミネーション	denomination
ブラス	brass
バーニャ	banya
ダルメシアン	dalmatian
オイディプス	oedipus
シンメトリー	symmetry
ルーツ	roots
ウィンドウ	window
シーズン	season
デンヴァー	denver
レガシー	legacy
パイロン	pylon
ティルデ	tilde
アーフタ	after
サイコパス	psychopath
ブレイクダウン	breakdown
アウォード	award
チンパンジー	chimpanzee
ニューラル	neural
ラグジュアリー	luxury
オーディン	odin
ロジスティックス	logistics
セクエンツィア	sequence
シューター	shooter
アーダント	ardent
リコンストラクション	reconstruction
ライダー	rider
ソーマ	soma
アカシア	acacia
ファンキー	funky
ティンパニー	timpani
オーバードライブ	overdrive
フェロー	fellow
キガリ	kigali
モジュロ	modulo
アイブロウ	eyebrow
メンタル	mental
フロンティア	frontier
ブレーブ	brave
キャヴァーン	cavern
スウィーティ	sweetie
リプレゼンテーション	representation
ルーティーン	routine
タイゴン	tigon
ユータナージー	euthanasia
アウトテイク	outtake
ナンフ	nymph
サービサー	servicer
ソール	sole
ノレッジ	knowledge
バゲッジ	baggage
コンヴォリューション	convolution
プロテクト	protect
バイセクシャル	bisexual
サパー	supper
ギムナジウム	gymnasium
グラジオラス	gladiolus
カウンティ	county
エコー	echo
ドバイ	dubai
メチレン	methylene
スクラッチ	scratch
フード	hood
ミネストローネ	minestrone
ランチ	lunch
ヨーマン	yeoman
タシケント	tashkent
チョップ	chop
サイエントロジー	scientology
ウェートレス	waitress
ワガドゥグ	ouagadougou
ウィントフック	windhoek
スマッシング	smashing
カッタウェー	cutaway
フレーヴァー	flavor
シンボライズ	symbolize
チャコ	chalk
ナルシシズム	narcissism
ガバナンス	governance
ウィンド	wind
アルタビスタ	altavista
メーキング	making
キャッチワード	catchword
テーラー	tailor
エリミネーション	elimination
エルボ	elbow
プラズマ	plasma
クレンズ	cleanse
カリスマ	charisma
ホビット	hobbit
セセッション	secession
クァルテット	quartet
ケーブ	cave
シヤッタ	shutter
ドレーピング	draping
トランズアクション	transaction
ニルヴァーナ	nirvana
レキシカル	lexical
アーテフィス	artifice
ホーン	horn
マネジメント	management
インクルージョン	inclusion
ボデー	body
メタファー	metaphor
ナチュラリスティック	naturalistic
リスナー	listener
アクサン	accent
ルーラ	ruler
クラヴィコード	clavichord
ブレクアウト	breakout
サンバ	samba
フェイバリット	favorite
インタプリタ	interpreter
オートクレーブ	autoclave
デダクション	deduction
シチズンシップ	citizenship
マザーランド	motherland
リターンズ	returns
コロニアリズム	colonialism
グリンゴ	gringo
セオリー	theory
ブリージング	breathing
プレジャー	pleasure
バーレル	barrel
アストゥラノマ	astronomer
フィージビリティー	feasibility
トゥデー	today
プラセンタ	placenta
バカロレア	baccalaureate
インターアクション	interaction
ブラザビル	brazzaville
ラッシャー	rusher
ファスチャン	fustian
グラフィティー	graffiti
マニピュレイト	manipulate
ディプロマシー	diplomacy
ドルイド	druid
メシュ	meche
エントリー	entry
ゾンビ	zombie
リアル	real
ジャスパー	jasper
トマト	tomato
デフコン	defcon
コイル	coil
マンドリル	mandrill
ピンズ	pins
ピグシ	pixie
レシーブ	receive
ローファーズ	loafers
コーナ	corner
カタプルト	catapult
インジェクション	injection
ドロワー	drawer
カーボン	carbon
ラヴ	love
オルカット	orkut
ミレニウム	millennium
フィドル	fiddle
コレステロール	cholesterol
バーミリオン	vermilion
コロラチューラ	coloratura
ディル	dill
ウェイスト	waist
チタン	titan
ハリファ	caliph
コーチャー	coacher
インディビジュアリティー	individuality
ハープーン	harpoon
ノーマライゼーション	normalization
ディヴェルティメント	divertimento
レイピア	rapier
コヒーレンス	coherence
チアリーディング	cheerleading
オリーブ	olive
アジアン	asian
エイジス	aegis
アルティプラノ	altiplano
メイド	maid
ハンドシェイク	handshake
ウエハース	wafers
アクチノイド	actinide
キャッスル	castle
スケール	scale
ポディウム	podium
プロダクティビティ	productivity
ジャイブ	jive
コール	coal
スポット	spot
エンディング	ending
ハンブル	humble
ナチュラル	natural
スタンバイ	standby
プローブ	probe
テクノロジ	technology
ボーラス	bolus
ハングル	hangul
ソ	so
クローゼット	closet
リン	ring
コンフリー	comfrey
ノート	note
インヴォイス	invoice
ブルターニュ	brittany
グラニット	granite
アップストリーム	upstream
スエットパンツ	sweatpants
ダイアローグ	dialogue
オールスター	all-star
ブール	boule
アマービレ	amabile
グレーシャー	glacier
ホステス	hostess
オンブズマン	ombudsman
フォノグラフ	phonograph
ボルト	volt
コレスポンデンス	correspondence
マザー	mother
ハロン	halon
ワッシャー	washer
スプラウト	sprout
シンクロナス	synchronous
オープン	opening
ベジタリアン	vegetarian
バイセクシュアル	bisexual
コーディネーション	coordination
アンプリファイア	amplifier
エクスパート	expert
チャンピォン	champion
シャンソン	chanson
ベースメント	basement
フォカッチャ	focaccia
グリシン	glycine
トリアージュ	triage
コンサーバティブ	conservative
フィキサチーフ	fixative
トランスコンチネンタル	transcontinental
ナリッシュ	nourish
ワナビ	wannabe
バクテリヤ	bacteria
バグパイプ	bagpipe
プロシージャ	procedure
マジョリティー	majority
シチュー	stew
ワギナ	vagina
ポスティング	posting
ポリビニル	polyvinyl
シミュレート	simulation
エイジング	aging
メルシー	merci
フロック	frock
パッセンジャー	passenger
ジャネット	janet
バヌアツ	vanuatu
トレンド	trend
セクタ	sector
ビーフ	beef
マーシュ	mache
グレーター	greater
アゲィンスト	against
ディーモン	daemon
ケースワーク	casework
マグネット	magnet
メタドン	methadone
ダイヤル	dial
レーガノミクス	reaganomics
スターリニズム	stalinism
グラウト	grout
タグボート	tugboat
トレーサー	tracer
パートナー	partner
スリーパー	sleeper
レコメンデーション	recommendation
キュービクル	cubicle
ホエイ	whey
ファクター	factor
ストッキング	stockings
テコンド	taekwondo
シューティング	shooting
クルージング	cruising
コルクスクリュー	corkscrew
コンテント	content
レミング	lemming
スローダウン	slowdown
ブラッドストーン	bloodstone
アルジェリア	algeria
フラメンコ	flamenco
バントゥー	bantu
オプティマイズ	optimize
レイマン	layman
アダルト	adult
フラッグシップ	flagship
ラブリー	lovely
デパーチャー	departure
ギガバイト	gigabyte
マグ	mug
ヴェテラン	veteran
イデオロギー	ideology
ランチャー	launcher
アレース	ares
クリンチ	clinch
ボトムス	bottoms
マン	man
タイド	tide
トラフィック	traffic
ミクス	mix
アルミニウム	aluminum
スパークリング	sparkling
インティファーダ	intifada
サンバーン	sunburn
エゴティスト	egotist
コライダー	collider
ガーデニング	gardening
レーシズム	racism
メイト	mate
モチーフ	motif
ターンテーブル	turntable
リソース	resource
エール	yell
ソート	sort
ストーリ	story
タンジェント	tangent
スイーツ	sweets
レイテンシ	latency
ソーシャル	social
グローリー	glory
ソーティー	sortie
ピルエット	pirouette
ボゴタ	bogota
フラッシュバック	flashback
シンセサイザ	synthesizer
モルジブ	maldives
オイル	oil
バラエティ	variety
アーミー	army
ティピカル	typical
ミティゲーション	mitigation
ストロベリー	strawberry
エクスチェンジ	exchange
アクスィジェン	oxygen
マリアッチ	mariachi
シェフ	chef
ネバダ	nevada
コンクラーヴェ	conclave
ボレー	volley
フロッピ	floppy
ケラチン	keratin
アクティビズム	activism
ストレッサー	stressor
スコアボード	scoreboard
エルゴノミックス	ergonomics
ホワイエ	foyer
ドライブウェー	driveway
ハミルトニアン	hamiltonian
デレゲーション	delegation
ユニバース	universe
ツイッター 	twitter
ガル	gal
リトリバー	retriever
レシチン	lecithin
ミュータント	mutant
メーラ	mailer
カブリオレ	cabriolet
アグリーメント	agreement
ヴィーヴォ	vivo
アースクエイク	earthquake
バージ	barge
アンチョビー	anchovy
デュロン	duron
ポストマスター	postmaster
ローファ	loafers
ウェーティング	waiting
リソグラフィ	lithography
カービング	carving
キノア	quinoa
ブリード	bleed
キャノピー	canopy
バーラト	bharat
ボクシング	boxing
フェデレーション	federation
コクピット	cockpit
ステント	stent
ソリテアー	solitaire
コンテンション	contention
クロスワード	crossword
オールディー	oldie
パーカ	parka
ハイム	heim
スキューバ	scuba
ミスフォーチュン	misfortune
システマチック	systematic
ニュースマガジン	newsmagazine
スピーチライター	speechwriter
メイン	maine
トーン	tone
ウォッシャブル	washable
モーメント	moment
セカンドハンド	secondhand
ヒストグラム	histogram
エード	aid
トリビューン	tribune
ポンス	pons
アレンジメント	arrangement
キャラバン	caravan
インディケータ	indicator
ディボース	divorce
ブレイド	blade
イリーガル	illegal
クリエーティビティ	creativity
パーコレーター	percolator
バックラッシュ	backlash
ウエル	well
ビーフィーター	beefeater
アクティング	acting
ブルゴーニュ	burgundy
レーン	lane
キャリヤー	career
クラフトマン	craftsman
クラスト	crust
フューチャー	future
サウザンド	thousand
チック	tic
プライバシイ	privacy
ナンバリング	numbering
ビジョナリー	visionary
マッハ	mach
アデノイド	adenoid
グロサリー	grocery
ストリップ	strip
ユピテル	jupiter
マーティニ	martini
ブロアー	blower
プロムナード	promenade
シンボリズム	symbolism
ワルソー	warsaw
レフティー	lefty
ステッチ	stitch
クレイム	claim
ニューロン	neuron
アクティブ	active
ロンダリング	laundering
ミル	mil
ナレーター	narrator
ナイン	nein
セピア	sepia
スモール	small
パケット	packet
キャッチャー	catcher
ネットウェア	netware
サブレー	sable
アマチュアリズム	amateurism
パスティッシュ	pastiche
シンセシス	synthesis
タイマ	timer
スエード	suede
ラン	run
ブラザーズ	brothers
オーバーナイト	overnight
リスナ	listener
ミンスク	minsk
ダウジング	dowsing
テレパシー	telepathy
エスニシティー	ethnicity
トラスティ	trustee
ランウエイ	runway
アバクス	abacus
シーズ	seeds
イェイ	yay
ファカルティ	faculty
ウェー	way
モールスキン	moleskin
レグ	leg
ステー	stay
フリーウェア	freeware
オリブ	olive
アバター	avatar
アイデアリスト	idealist
ケンネル	kennel
コフィン	coffin
プレイヤー	player
ライニング	lining
ナタ	nata
ピラミッド	pyramid
アクティビティー	activity
バリケード	barricade
アーキテクチャル	architectural
コンバータ	converter
エル	ell
フィナンシャル	financial
ロードショー	roadshow
トリル	trill
カリキュラム	curriculum
ドキュドラマ	docudrama
アイデンティフィケーション	identification
サープラス	surplus
タブロイド	tabloid
ブービー	booby
ブイ	buoy
スクエア	square
リテラチャー	literature
イヤリング	earring
シャリーア	sharia
アセチレン	acetylene
マーケティング	marketing
ジルコン	zircon
キングメーカー	kingmaker
プロコンスル	proconsul
アストロロジー	astrology
セールス	sales
チャプター	chapter
ベクトル	vector
ポピュラー	popular
ジェイド	jade
バッチ	batch
アマゾーン	amazon
モイスチャー	moisture
アンタレス	antares
リクリエーション	recreation
ノンチャラン	nonchalant
アンダーウェア	underwear
ゲリマンダー	gerrymander
ギャランティ	guaranty
エリクシア	elixir
ヴログ	blog
メルトン	melton
スフレ	souffle
ヒルビリー	hillbilly
リプル	ripple
プルーン	prune
ピルーエット	pirouette
ジャム	jam
インタヴュー	interview
ノンセンス	nonsense
カバブ	kebab
サジェスト	suggest
メドゥーサ	medusa
リストラクチュアリング	restructuring
フィアンセ	fiance
トボガン	toboggan
ゴース	gauze
スリッカー	slicker
バンパイア	vampire
イラショナル	irrational
グレイ	grey
グリーク	greek
ジッパー	zipper
オルガスム	orgasm
アヌス	anus
レスポンシブ	responsive
ミリタリー	military
アクウダクト	aqueduct
インターセプト	intercept
イーブル	evil
ブレーンウォッシング	brainwashing
ストアフロント	storefront
コンフェッション	confession
グリッロ	grillo
ヤハウェ	yahweh
カシミア	cashmere
シンパサイザー	sympathizer
レファレンス	reference
マルチ	multi
ビト	bit
コンデション	condition
ロイアルティ	royalty
アッセンブリー	assembly
マイクロフィッシュ	microfiche
フラッドライト	floodlight
クリスプ	crisp
ノエル	noel
フォニーム	phoneme
バレット	balletto
アドゥバタイズメント	advertisement
アゲラタム	ageratum
バージョン	version
スカベンジャー	scavenger
クリーク	clique
ニルバーナ	nirvana
コカコーラ	coca-cola
ボルテックス	vortex
リバーサル	reversal
リザーブ	reserve
タイポ	typo
ドゥーパ	dopa
ダイナモ	dynamo
トランジスター	transistor
アクア	aqua
アーチファクト	artifact
リコイル	recoil
キーパッド	keypad
クローズ	close
シリヤル	serial
カーラー	curler
アシュアランス	assurance
ライオット	riot
ブールバール	boulevard
エデュケーション	education
ミストレス	mistress
セレニウム	selenium
ジョイント	joint
サーモン	salmon
リール	reel
アーキタイプ	archetype
バクテリア	bacteria
グラフィカル	graphical
ホルン	horn
コノテーション	connotation
マルトース	maltose
レアルポリティック	realpolitik
ボルシェビズム	bolshevism
ジャイロスコープ	gyroscope
マジコウ	magical
ビネガー	vinegar
フラッシュライト	flashlight
ツー	two
レトリーバ	retriever
パン	pan
ボイコット	boycott
ミリリットル	millilitre
サルファ	sulfur
クオーター	quarter
コラムニスト	columnist
アクアマリン	aquamarine
プライオリティー	priority
ラジエター	radiator
パーソナル	personal
ブーゲンビレア	bougainvillea
ヤク	yak
ビスケット	biscuit
モノクル	monocle
アウエア	aware
キット	kit
ミニアチュア	miniature
ルタバガ	rutabaga
レーシック	lasik
ピューリタン	puritan
ウォータフォール	waterfall
ブールギニョン	bourguignon
レギュラシオン	regulation
スロープ	slope
ローレンシウム	lawrencium
コンディション	condition
ナンバーリング	numbering
サンデー	sundae
カーバイド	carbide
スモカー	smoker
ドレイン	drain
コンサルティング	consulting
キール	keel
サブタイトル	subtitle
ターポン	tarpon
コーディネータ	coordinator
グルーピー	groupie
インデアン	indian
ゼラニウム	geranium
ガールズ	girls
フィド	fido
インデクサ	indexer
アーミッシュ	amish
ウェルネス	wellness
ユネスコ	unesco
デカダンス	decadence
ファージング	farthing
テレックス	telex
シ	ti
クルーガーランド	krugerrand
クォーク	quark
コルナ	koruna
アモルファス	amorphous
フェーク	fake
クエッション	question
リシン	lysine
アンクル	uncle
ラブラドル	labrador
ボート	boat
コサージュ	corsage
インターレース	interlace
ブルーベル	bluebell
ニブル	nibble
チュニス	tunis
ファーニチャー	furniture
サミング	thumbing
インベンション	invention
エピステーメー	episteme
シーケンシャル	sequential
ファインディング	finding
バフ	buff
イグアナ	iguana
アキダクト	aqueduct
キャラコ	calico
インテリゲンツィア	intelligentsia
ガジェット	gadget
ベロドローム	velodrome
マスターピース	masterpiece
クエリ	query
プレイアデス	pleiades
トグル	toggle
デニッシュ	danish
ステーツマン	statesman
パーソナリティー	personality
サムシング	something
アドミン	admin
トラベリング	travelling
クオーターバック	quarterback
コミュニケータ	communicator
カツレツ	cutlet
パイン	pine
ピッツァ	pizza
エキゾチック	exotic
クリムソン	crimson
アフガン	afghan
バーティゴ	vertigo
リヤ	rear
カルキュレータ	calculator
コンタック	contact
カノン	cannon
ナイティンゲール	nightingale
グリーンメーラー	greenmailer
シェケル	shekel
マリ	mali
ポワソン	poisson
エッジ	edge
リリー	lily
トップス	top
ザーメン	semen
ギボン	gibbon
サテライト	satellite
マニューシャ	minutia
フレイバー	flavor
バックグラウンド	background
タイポグラフィ	typography
エアメール	airmail
ローカライゼーション	localization
コンパクト	compact
ディスパッチ	dispatch
マスタング	mustang
オアス	oas
オブジェクション	objection
アルタイル	altair
ワガドゥーグー	ouagadougou
ハワイアン	hawaiian
アリストクラット	aristocrat
アカシヤ	acacia
リリーフ	relief
インターチェンジ	interchange
キナーゼ	kinase
バン	bun
レズビアン	lesbian
ショッピッング	shopping
ハンディー	handy
アクシス	axis
インプロビゼーション	improvisation
ホルド	horde
メデゥサ	medusa
ネーティビズム	nativism
フェリーボート	ferryboat
ミスファイア	misfire
バルネラビリティ	vulnerability
スクレーパ	scraper
ワーカホリック	workaholic
マナグア	managua
マチェット	machete
マイクロウェーブ	microwave
テナント	tenant
ウインナ	wiener
キャビン	cabin
シーツ	sheet
フォロウ	follow
ハムレット	hamlet
クワドラント	quadrant
ヴィタミン	vitamin
カヌーイング	canoeing
エンザイム	enzyme
チア	cheer
スタンツ	stunts
マイクロコンピューター	microcomputer
ピストル	pistol
アイロニカル	ironical
ピッツア	pizza
スマーフ	smurf
コーダ	coda
オゾン	ozone
プールサイド	poolside
カラード	colored
レスラー	wrestler
シニシズム	cynicism
クシェット	couchette
マケドニア	macedonia
リーガー	leaguer
ヌーヴェル	nouvelle
モウメンタム	momentum
ノーテーション	notation
カース	curse
トリュフ	truffle
モデュール	module
メンブレン	membrane
ティラナ	tirana
プレーナー	planer
スウェーディッシュ	swedish
ジグ	jig
コンフォータブル	comfortable
エートス	ethos
コンストラクション	construction
リラクタンス	reluctance
フィットネス	fitness
ツァール	tsar
シャドウイング	shadowing
アフィリエイトー	affiliate
ディスアセンブル	disassemble
インフィールダー	infielder
アーフタヌーン	afternoon
アイディアリスト	idealist
ミラクル	miracle
ポンド	pond
ファンダメンタルズ	fundamentals
パーセプション	perception
テリトリー	territory
チャプレン	chaplain
シード	seed
スピリチュアリティ	spirituality
クロロホルム	chloroform
ロリータ	lolita
トランジション	transition
ドージェ	doge
クランチ	crunchy
マッピ	mapi
トピ	topi
スリーヴ	sleeve
アドヴェント	advent
グレーイッシュ	grayish
マシュマロ	marshmallow
ナッチョ	nacho
タンカー	tanker
センターフォールド	centerfold
ガロン	gallon
クロバー	clover
ハンドシェーク	handshake
テレマーケティング	telemarketing
チャツネ	chutney
シャーシ	chassis
ドレン	drain
コラボレート	collaborate
ツバル	tuvalu
ポートレイト	portrait
ガンビア	gambia
ウィークデー	weekday
ミツワー	mitzvah
テスター	tester
ポジティヴ	positive
サッカー	soccer
スキャンダル	scandal
ステークス	stakes
オーセンティック	authentic
アンマネージド	unmanaged
スーパーインポーズ	superimpose
マリネ	marine
マッチング	matching
ドラミング	drumming
ムートン	mouton
モカション	moccasin
ウエート	weight
ウオルナット	walnut
カヴァ	cava
パッショネート	passionate
オクラホマ	oklahoma
センチメーター	centimeter
クィーンズランド	queensland
エンブリオ	embryo
エコロジスト	ecologist
コレオグラフィー	choreography
アクイエス	acquiesce
キャリパス	calipers
シュノーケリング	snorkeling
フルーティー	fruity
キャノンボール	cannonball
キャロル	carol
アクロス	across
コリアンダー	coriander
ガントレット	gauntlet
トーカブル	talkable
ハイブリッド	hybrid
カクタス	cactus
ジステンパー	distemper
エチレン	ethylene
イスタンブール	istanbul
クオーツ	quartz
プライド	pride
コールド	cold
ベバレッジ	beverage
モザンビーク	mozambique
フォトグラフ	photograph
バルキリー	valkyrie
ミューズ	muse
エコ	eco
シグナチャー	signature
ドームズデー	doomsday
スティング	sting
クラリオネット	clarinet
ウェスト	waste
ヒューマニティ	humanity
ダイナー	diner
アントロポロギー	anthropology
カセット	cassette
マチネー	matinee
バジリカ	basilica
エネーブル	enable
ナノメーター	nanometer
ソープ	soap
スーパーモデル	supermodel
ブラックボード	blackboard
ナショナリゼーション	nationalization
シザーズ	scissors
ティーン	teen
プリンター	printer
ジャイロ	gyro
バンチ	bunch
コスモス	cosmos
エステティック	esthetic
スタイリング	styling
ワープ	warp
ビーコン	beacon
ネクストステップ	nextstep
アンディーブ	endive
シビヤ	severe
アジェクティブ	adjective
レジューム	resume
クルーソー	crusoe
スキレット	skillet
アキュムレータ	accumulator
レファレンダム	referendum
ダッキング	ducking
マイラー	miler
ホイル	foil
パッティング	patting
クラシシズム	classicism
ホログラフィック	holographic
レビューアー	reviewer
ファルコン	falcon
スキップ	skip
リバーシブル	reversible
ビシュヌ	vishnu
ジェスチャー	gesture
インタロゲイション	interrogation
モンスーン	monsoon
アドミッタンス	admittance
マネージメント	management
マタニティ	maternity
パビリオン	pavilion
マプト	maputo
アニス	anise
マイクロプロセッサー	microprocessor
ラインバッカー	linebacker
インテルクチュアル	intellectual
ショーヴィニスム	chauvinism
キハーダ	quijada
ナイロビ	nairobi
アンノウン	unknown
ウォーマー	warmer
グロテスク	grotesque
アーギュー	argue
タビー	tabby
エコシステム	ecosystem
ガーゼ	gaze
ニーモニック	mnemonic
サワークラウト	sauerkraut
ムーチョ	mucho
コロイド	colloid
オープニング	opening
ベネシャン	venetian
ゴッドファーザー	godfather
タブレット	tablet
クエリー	query
フォノロジー	phonology
フラワー	flower
ケミカル	chemical
サンドイッチ	sandwich
セオレティカル	theoretical
オーバードーズ	overdose
バーン	bahn
ウイング	wing
ボーン	bone
ドーナッツ	doughnut
オーバーキル	overkill
スクラロース	sucralose
アレフ	aleph
デイジー	daisy
フォリナー	foreigner
アンテロープ	antelope
チン	ching
カーシェール	kosher
グラビティ	gravity
ウェザー	weather
ポロニウム	polonium
シンダー	cinder
ステープル	staple
キャムコーダ	camcorder
タイトロープ	tightrope
キュビズム	cubism
ロマンチシズム	romanticism
ディミニッシュ	diminish
ノートン	norton
デリバティブ	derivative
サザン	southern
ポリス	polis
ブロッキング	blocking
フラッド	flood
ユニフォーム	uniform
メトトレキサート	methotrexate
ハガン	khan
メディカル	medical
ゲラ	galley
アーウィン	erwin
バイラテラル	bilateral
アースクウェイク	earthquake
ローマンス	romance
アンプレショニスム	impressionism
エバキュエーション	evacuation
エタノール	ethanol
スピーク	speak
コミカル	comical
イラストレート	illustrate
アスピリン	aspirin
ケンタウロス	centaurs
クレジット	credit
ガンボ	gumbo
マスカ	masker
オーソライズ	authorize
カムシャフト	camshaft
クリエータ	creator
ポーティング	porting
シーチング	sheeting
トゥナイト	tonight
プライズ	prize
ラジェーター	radiator
レオパード	leopard
バシリカ	basilica
タートルネック	turtleneck
ダーツ	darts
ソサイエティー	society
バウンド	bounce
プリミチブ	primitive
ガード	guard
モンセラー	montserrat
ボイリング	boiling
プラエトル	praetor
ワルツ	waltz
カピタル	capital
サイプラス	cyprus
メンフィス	memphis
ボルシェビキ	bolshevik
クランチ	crunch
サウジ	saudi
タイラノザウルス	tyrannosaurus
ウォールツ	waltz
ゴルゴン	gorgon
コーク	cork
カルテル	cartel
リフレクト	reflect
ブライダル	bridal
アーント	aunt
ポリモーフィズム	polymorphism
ミュート	mute
ウォータープルーフ	waterproof
シェアード	shared
モバイル	mobile
ナッシュ	gnash
オクターヴ	octave
クリエイティブ	creative
ロコモーティブ	locomotive
テクニーク	technique
ゴーラル	goral
アンドゥ	undo
ケンタウル	centaur
モノレール	monorail
ルネサンス	renaissance
コンミッション	commission
コミットメント	commitment
セオレテイカル	theoretical
インスツルメンタル	instrumental
スピルオーバー	spillover
ポケ	poke
ミクロスコープ	microscope
リグレット	regret
ワイヤード	wired
アンガージュマン	engagement
リーパー	reaper
ウッドチャック	woodchuck
リント	lint
フロッピー	floppy
ソシアル	social
ポッサム	possum
マネタリズム	monetarism
ハズバンド	husband
アンプリファイ	amplify
シラップ	syrup
テルリド	telluride
スライダー	slider
キエフ	kiev
リサイクリング	recycling
スウェットスーツ	sweatsuit
ダイニング	dining
スレイヤー	slayer
スリフト	thrift
バーレーン	bahrain
デカフェ	decaf
クオンツ	quants
チャコール	charcoal
マンドリン	mandolin
カット	cut
ブロークン	broken
コクーン	cocoon
カスバ	casbah
アウストラロピテクス	australopithecus
センテンス	sentence
ディザリング	dithering
レジストレーション	registration
ジュール	joule
コンフォタブル	comfortable
ドッグファイト	dogfight
カイト	kite
ヨーガ	yoga
バーチュアル	virtual
シオニズム	zionism
プラグマチズム	pragmatism
アードバーク	aardvark
バレエ	ballet
アクセラレーター	accelerator
アクノリッジ	acknowledge
コンベヤ	conveyor
ウォンバット	wombat
クレスト	crest
アカムパニメント	accompaniment
リクード	likud
ニュー	new
マルチプロセッサ	multiprocessor
オステオポローシス	osteoporosis
グリッフィン	griffin
インターン	intern
アクティベーター	activator
アナフィラキシ	anaphylaxis
インクリメンタリズム	incrementalism
チュートリアル	tutorial
ブラウンストーン	brownstone
リグ	rig
ビューティー	beauty
アセット	asset
ジャガタラ	jakarta
リピータ	repeater
セッツルメント	settlement
カチオン	cation
クラリティ	clarity
アレス	ares
クォウト	quote
ノース	north
キャッチー	catchy
ドエル	dwell
レペルトワール	repertoire
コロネ	cornet
チョコレート	chocolate
オポサム	opossum
アースクェイク	earthquake
センティメンタル	sentimental
デリゲーション	delegation
ブリーフ	brief
マトン	mutton
フライズ	flies
パラフレーズ	paraphrase
ポリープ	polyp
ノード	node
パイピング	piping
ウェート	weight
ライ	lie
コミュニティ	community
シークェンス	sequence
マルチプレクサ	multiplexer
オーストララシア	australasia
カタストロフィ	catastrophe
ビルディング	building
パブリシティー	publicity
ハウント	haunt
ロマンティシズム	romanticism
ブレイブ	brave
セーター	sweater
ストラテジー	strategy
アウェイト	await
パブリシティ	publicity
バーベナ	verbena
ウェイハー	wafer
テーブルスプーン	tablespoon
ブッダ	buddha
ステーツマンシップ	statesmanship
フリーウェー	freeway
ミート	meet
アンゲリカ	angelica
サウナ	sauna
フェノミナ	phenomena
リンカー	linker
スパイウェア	spyware
マルサラ	marsala
ラクトン	lactone
ラマダーン	ramadan
エピデミック	epidemic
ワードローブ	wardrobe
エクステンション	extension
ライフル	rifle
コーラ	cola
アトム	atom
シャンデリア	chandelier
アコード	accord
ソーサー	saucer
サイドワインダー	sidewinder
サイン	sine
パノラマ	panorama
アーシュラマ	ashram
ネスティング	nesting
ミップス	mips
キュポラ	cupola
プロセッシング	processing
サブグループ	subgroup
ロビー	lobby
ベトナム	vietnam
ビス	vis
グアテマラ	guatemala
アプローチ	approach
カザフスタン	kazakhstan
ルード	rood
オクトパス	octopus
ローティー	roti
コレクターズ	collectors
タイムリ	timely
ヒアリング	hearing
プロム	prom
アイマックス	imax
リフレクター	reflector
イラステシティ	elasticity
リスキー	risky
ランキング	ranking
イラク	iraq
アトラクティブ	attractive
コンセントレーション	concentration
ムッソリーニ	mussolini
アージェント	urgent
シェルフ	shelf
ジェネレーター	generator
インストーラ	installer
ムンバイ	mumbai
ジムナジウム	gymnasium
オルターナティヴ	alternative
ツァー	tsar
コンベクション	convection
ゴーン	dong
サブユニット	subunit
アソシエーション	association
ジェネラリスト	generalist
リマ	lima
アレー	alley
ディスコード	discord
ナンセンス	nonsense
バロー	barrow
バガボンド	vagabond
エシックス	ethics
アンビギュイティ	ambiguity
スパイウエア	spyware
フォトジェニック	photogenic
ベルボーイ	bellboy
イースト	east
ゲートル	gaiter
スコポラミン	scopolamine
スループット	throughput
ダッシュ	dash
アテンダント	attendant
サブスクリプション	subscription
レイオフ	layoff
コカイン	cocaine
ウーハー	woofer
ポジティブ	positive
トゥルー	true
マニュスクリプト	manuscript
インタアクティブ	interactive
インディアン	indian
ヴァラエティー	variety
コーヒーブラウン	coffee
リーケージ	leakage
プログレス	progress
ユニコーン	unicorn
ブートレグ	bootleg
フェレット	ferret
ベンディング	bending
ノズル	nozzle
イランド	eland
フェスタ	festa
モニタ	monitor
フォーマル	formal
ミステリー	mystery
アーティチョーク	artichoke
アンダンティーノ	andantino
マグネシヤ	magnesia
インプリメンテーション	implementation
セパレート	separate
ガマット	gamut
ファジィ	fuzzy
シューズ	shoes
ピーロム	prom
アスマラ	asmara
キーボード	keyboard
アクセルレータ	accelerator
ディスポーザブル	disposable
イコン	ikon
ウィンドミル	windmill
ブルマー	bloomer
マフラー	muffler
ウィーク	week
アクセプト	accept
ポプリ	potpourri
クエーサー	quasar
ボット	bot
ブッシェル	bushel
マイナー	miner
イラストレーター	illustrator
ソアリング	soaring
トング	tong
データ	data
リザベーション	reservation
ベーン	vane
ダラクマ	drachma
フィーダ	feeder
ポット	pot
シュレアリスム	surrealism
ルーティン	routine
ニットウェア	knitwear
トランスジェンダー	transgender
ロイヤリティー	royalty
フラクタル	fractal
